codigo,equipo,slot,jugador_tipo,tier,estado,repetidas,notas,posicion,club,nacimiento,altura,peso,conf_bio,orden_album,pagina,fecha_estado
COL5,Colombia,5,Yerry Mina,base,pegada,0,,DEF,Cagliari Calcio (ITA),23-09-1994,1.95,,med,44,96-97,2026-06-13
COL6,Colombia,6,Daniel Muñoz,base,pegada,0,,DEF,Crystal Palace FC (ENG),26-05-1996,1.81,73,high,44,96-97,
COL7,Colombia,7,Johan Mojica,base,tengo,0,,DEF,RCD Mallorca (ESP),21-08-1992,1.85,66,high,44,96-97,2026-06-15
COL8,Colombia,8,Jhon Lucumí,base,falta,0,,DEF,Bologna FC (ITA),26-06-1998,1.87,84,high,44,96-97,
COL9,Colombia,9,Santiago Arias,base,pegada,0,,DEF,sin club,13-01-1992,1.78,,low,44,96-97,2026-06-13
COL10,Colombia,10,Jefferson Lerma,base,pegada,0,,MED,Crystal Palace FC (ENG),25-10-1994,1.79,,high,44,96-97,2026-06-09
COL11,Colombia,11,Kevin Castaño,base,tengo,0,,MED,River Plate (ARG),29-09-2000,1.77,68,high,44,96-97,2026-06-15
COL12,Colombia,12,Richard Ríos,base,pegada,0,,MED,SL Benfica (POR),02-06-2000,1.87,74,high,44,96-97,2026-06-09
COL13,Colombia,13,Foto equipo,base,falta,0,,,,,,,,44,96-97,
COL14,Colombia,14,James Rodríguez,base,pegada,0,,MED,Club Leon (MEX),12-07-1991,1.80,75,high,44,96-97,2026-06-13
COL15,Colombia,15,Juan Fernando Quintero,base,pegada,0,,MED,River Plate (ARG),18-01-1993,1.68,63,high,44,96-97,2026-06-09
COL16,Colombia,16,Jorge Carrascal,base,falta,0,,MED,CR Flamengo (BRA),25-05-1998,1.80,,high,44,96-97,
COL17,Colombia,17,Jhon Arias,base,pegada,0,,DEL,SE Palmeiras (BRA),21-09-1997,1.68,,high,44,96-97,2026-06-12
COL18,Colombia,18,Jhon Córdoba,base,pegada,0,,DEL,FC Krasnodar (RUS),11-05-1993,1.88,85,high,44,96-97,2026-06-13
COL19,Colombia,19,Luis Suárez,base,tengo,0,,DEL,Sporting CP (POR),02-12-1997,1.85,83,high,44,96-97,2026-06-15
COL20,Colombia,20,Luis Díaz,base,tengo,0,,DEL,Bayern Munich (GER),13-01-1997,1.80,73,high,44,96-97,2026-06-15
COD1,RD Congo,1,Escudo (foil),T2,pegada,0,escudo foil,,,,,,,42,92-93,2026-06-13
COD2,RD Congo,2,Lionel Mpasi,base,falta,0,,POR,Le Havre AC (FRA),01-08-1994,1.82,78,high,42,92-93,
COD3,RD Congo,3,Aaron Wan-Bissaka,base,pegada,1,,DEF,West Ham United (ENG),26-11-1997,1.83,72,high,42,92-93,2026-06-12
COD4,RD Congo,4,Axel Tuanzebe,base,tengo,0,,DEF,Burnley FC (ENG),14-11-1997,1.85,75,high,42,92-93,2026-06-17
COD5,RD Congo,5,Arthur Masuaku,base,falta,0,,DEF,RC Lens (FRA),07-11-1993,1.79,78,high,42,92-93,
COD6,RD Congo,6,Chancel Mbemba,base,pegada,0,,DEF,LOSC Lille (FRA),08-08-1994,1.82,,high,42,92-93,2026-06-09
COD7,RD Congo,7,Joris Kayembe,base,pegada,1,,DEF,KRC Genk (BEL),08-08-1994,1.81,,high,42,92-93,
COD8,RD Congo,8,Charles Pickel,base,pegada,0,,MED,RCD Espanyol (ESP),15-05-1997,1.87,,high,42,92-93,2026-06-10
COD9,RD Congo,9,Ngal'ayel Mukau,base,falta,0,,MED,LOSC Lille (FRA),03-11-2004,1.88,70,high,42,92-93,
COD10,RD Congo,10,Edo Kayembe,base,perdida,0,,MED,Watford FC (ENG),03-06-1998,1.83,77,high,42,92-93,2026-06-06
COD11,RD Congo,11,Samuel Moutoussamy,base,perdida,0,,MED,Atromitos (GRE),12-08-1996,1.76,61,high,42,92-93,2026-06-06
COD12,RD Congo,12,Noah Sadiki,base,pegada,0,,MED,Sunderland AFC (ENG),17-12-2004,1.73,,high,42,92-93,2026-06-14
COD13,RD Congo,13,Foto equipo,base,pegada,1,,,,,,,,42,92-93,2026-06-13
COD14,RD Congo,14,Théo Bongonda,base,pegada,0,,DEL,Spartak Moscow (RUS),20-11-1995,1.75,,high,42,92-93,
COD15,RD Congo,15,Meschak Elia,base,perdida,0,,DEL,Alanyaspor (TUR),06-08-1997,1.73,67,med,42,92-93,2026-06-06
COD16,RD Congo,16,Yoane Wissa,base,pegada,1,,DEL,Newcastle United (ENG),03-09-1996,1.80,72,high,42,92-93,2026-06-13
COD17,RD Congo,17,Brian Cipenga,base,pegada,0,,DEL,CD Castellon (ESP),11-03-1998,1.72,69,high,42,92-93,2026-06-14
COD18,RD Congo,18,Fiston Mayele,base,tengo,0,,DEL,Pyramids FC (EGY),24-06-1994,1.85,77,high,42,92-93,2026-06-17
COD19,RD Congo,19,Cédric Bakambu,base,falta,0,,DEL,Real Betis (ESP),11-04-1991,1.83,,high,42,92-93,
COD20,RD Congo,20,Nathanaël Mbuku,base,pegada,0,,DEL,Montpellier HSC (FRA),16-03-2002,1.70,65,high,42,92-93,2026-06-14
CRO1,Croacia,1,Escudo (foil),T2,pegada,0,escudo foil,,,,,,,46,100-101,
CRO2,Croacia,2,Dominik Livaković,base,pegada,1,,POR,GNK Dinamo Zagreb (CRO),09-01-1995,1.88,,high,46,100-101,2026-06-13
CRO3,Croacia,3,Duje Ćaleta-Car,base,pegada,0,,DEF,Real Sociedad (ESP),17-09-1996,1.93,78,high,46,100-101,2026-06-10
CRO4,Croacia,4,Joško Gvardiol,base,pegada,0,,DEF,Manchester City (ENG),23-01-2002,1.85,80,high,46,100-101,2026-06-16
CRO5,Croacia,5,Josip Stanišić,base,falta,0,,DEF,Bayern Munich (GER),02-04-2000,1.86,77,high,46,100-101,
CRO6,Croacia,6,Luka Vušković,base,pegada,1,,DEF,Hamburger SV (GER),24-02-2007,1.93,86,high,46,100-101,2026-06-13
CRO7,Croacia,7,Josip Šutalo,base,pegada,0,,DEF,Ajax (NED),28-02-2000,1.90,,high,46,100-101,2026-06-10
CRO8,Croacia,8,Kristijan Jakić,base,pegada,0,,MED,FC Augsburg (GER),14-05-1997,1.84,78,high,46,100-101,2026-06-16
CRO9,Croacia,9,Luka Modrić,base,falta,0,,MED,AC Milan (ITA),09-09-1985,1.72,66,high,46,100-101,
CRO10,Croacia,10,Mateo Kovačić,base,pegada,0,,MED,Manchester City (ENG),06-05-1994,1.77,77,high,46,100-101,2026-06-09
CRO11,Croacia,11,Martin Baturina,base,pegada,0,,MED,Como 1907 (ITA),16-02-2003,1.72,,high,46,100-101,2026-06-12
CRO12,Croacia,12,Lovro Majer,base,pegada,0,,MED,VfL Wolfsburg (GER),17-01-1998,1.78,74,high,46,100-101,2026-06-07
CRO13,Croacia,13,Foto equipo,base,falta,0,,,,,,,,46,100-101,2026-06-18
CRO14,Croacia,14,Mario Pašalić,base,falta,0,,MED,Atalanta BC (ITA),09-02-1995,1.88,78,high,46,100-101,
CRO15,Croacia,15,Petar Sučić,base,pegada,0,,MED,Inter Milan (ITA),25-10-2003,1.85,,high,46,100-101,2026-06-10
CRO16,Croacia,16,Ivan Perišić,base,pegada,0,,DEL,PSV Eindhoven (NED),02-02-1989,1.86,77,high,46,100-101,2026-06-12
CRO17,Croacia,17,Marco Pašalić,base,falta,0,,DEL,Orlando City SC (USA),14-09-2000,1.77,74,high,46,100-101,
CRO18,Croacia,18,Ante Budimir,base,falta,0,,DEL,CA Osasuna (ESP),22-07-1991,1.90,75,high,46,100-101,
CRO19,Croacia,19,Andrej Kramarić,base,pegada,0,,DEL,TSG Hoffenheim (GER),19-06-1991,1.77,74,high,46,100-101,2026-06-10
CRO20,Croacia,20,Franjo Ivanović,base,pegada,0,,DEL,SL Benfica (POR),01-10-2003,1.85,88,high,46,100-101,2026-06-12
CUW1,Curazao,1,Escudo (foil),T2,tengo,0,escudo foil,,,,,,,18,42-43,2026-06-17
CUW2,Curazao,2,Eloy Room,base,falta,0,,POR,Miami FC (USA),06-02-1989,1.91,,med,18,42-43,
CUW3,Curazao,3,Armando Obispo,base,falta,0,,DEF,PSV Eindhoven (NED),05-03-1999,1.85,,high,18,42-43,
CUW4,Curazao,4,Sherel Floranus,base,perdida,0,,DEF,PEC Zwolle (NED),23-08-1998,1.81,,high,18,42-43,2026-06-06
CUW5,Curazao,5,Jurien Gaari,base,pegada,1,,DEF,Abha Club (KSA),23-12-1993,1.81,,med,18,42-43,2026-06-12
CUW6,Curazao,6,Joshua Brenet,base,pegada,2,,DEF,Kayserispor (TUR),20-03-1994,1.81,,high,18,42-43,
CUW7,Curazao,7,Roshon van Eijma,base,pegada,0,,DEF,RKC Waalwijk (NED),09-06-1998,1.86,,med,18,42-43,2026-06-14
CUW8,Curazao,8,Shurandy Sambo,base,falta,0,,DEF,Sparta Rotterdam (NED),19-08-2001,1.74,,high,18,42-43,
CUW9,Curazao,9,Livano Comenencia,base,pegada,0,,MED,FC Zurich (SUI),03-02-2004,1.91,,high,18,42-43,2026-06-12
CUW10,Curazao,10,Godfried Roemeratoe,base,pegada,1,,MED,RKC Waalwijk (NED),19-08-1999,1.78,,med,18,42-43,
CUW11,Curazao,11,Juninho Bacuna,base,pegada,0,,MED,FC Volendam (NED),07-08-1997,1.78,,med,18,42-43,2026-06-14
CUW12,Curazao,12,Leandro Bacuna,base,pegada,0,,MED,Igdir FK (TUR),21-08-1991,1.87,,med,18,42-43,2026-06-09
CUW13,Curazao,13,Foto equipo,base,falta,0,,,,,,,,18,42-43,
CUW14,Curazao,14,Tahith Chong,base,pegada,0,,DEL,Sheffield United (ENG),04-12-1999,1.85,,high,18,42-43,
CUW15,Curazao,15,Kenji Gorre,base,pegada,1,,DEL,Maccabi Haifa (ISR),29-09-1994,1.74,,med,18,42-43,
CUW16,Curazao,16,Jearl Margaritha,base,pegada,0,,DEL,SK Beveren (BEL),10-04-2000,1.81,,med,18,42-43,2026-06-13
CUW17,Curazao,17,Jurgen Locadia,base,falta,0,,DEL,Miami FC (USA),07-11-1993,1.93,,med,18,42-43,
CUW18,Curazao,18,Jeremy Antonisse,base,pegada,0,,DEL,AE Kifisia (GRE),29-03-2002,1.84,,med,18,42-43,2026-06-12
CUW19,Curazao,19,Gervane Kastaneer,base,pegada,1,,DEL,Terengganu FC (MAS),09-06-1996,1.89,,med,18,42-43,
CUW20,Curazao,20,Sontje Hansen,base,pegada,0,,DEL,Middlesbrough (ENG),18-05-2002,1.72,,high,18,42-43,2026-06-14
CZE1,Chequia,1,Escudo (foil),T2,pegada,0,escudo foil,,,,,,,4,14-15,
CZE2,Chequia,2,Matej Kovar,base,pegada,0,,POR,PSV Eindhoven (NED),17-05-2000,1.96,,high,4,14-15,2026-06-14
CZE3,Chequia,3,Jindrich Stanek,base,falta,0,,POR,Slavia Praha (CZE),27-04-1996,1.92,,high,4,14-15,
CZE4,Chequia,4,Ladislav Krejci,base,falta,0,,DEF,Wolverhampton Wanderers (ENG),20-04-1999,1.91,,high,4,14-15,
CZE5,Chequia,5,Vladimir Coufal,base,pegada,2,,DEF,TSG Hoffenheim (GER),22-08-1992,1.74,,high,4,14-15,2026-06-14
CZE6,Chequia,6,Jaroslav Zeleny,base,pegada,1,,DEF,Sparta Praha (CZE),20-08-1992,1.90,,med,4,14-15,2026-06-16
CZE7,Chequia,7,Tomas Holes,base,pegada,1,,DEF,Slavia Praha (CZE),31-03-1993,1.80,,high,4,14-15,2026-06-09
CZE8,Chequia,8,David Zima,base,falta,0,,DEF,Slavia Praha (CZE),08-11-2000,1.90,,high,4,14-15,
CZE9,Chequia,9,Michal Sadilek,base,pegada,3,,MED,Slavia Praha (CZE),31-05-1999,1.69,,med,4,14-15,2026-06-14
CZE10,Chequia,10,Lukas Provod,base,pegada,0,,MED,Slavia Praha (CZE),23-10-1996,1.89,,high,4,14-15,2026-06-09
CZE11,Chequia,11,Lukas Cerv,base,pegada,0,,MED,Viktoria Plzen (CZE),10-04-2001,1.79,,high,4,14-15,2026-06-10
CZE12,Chequia,12,Tomas Soucek,base,pegada,0,,MED,West Ham United (ENG),27-02-1995,1.92,,high,4,14-15,2026-06-09
CZE13,Chequia,13,Foto equipo,base,falta,0,,,,,,,,4,14-15,
CZE14,Chequia,14,Pavel Sulc,base,pegada,1,,MED,Olympique Lyon (FRA),29-12-2000,1.77,,high,4,14-15,
CZE15,Chequia,15,Matej Vydra,base,pegada,0,,DEL,Viktoria Plzen (CZE),01-05-1992,1.80,,med,4,14-15,2026-06-09
CZE16,Chequia,16,Vasil Kusej,base,falta,0,,DEL,Slavia Praha (CZE),24-05-2000,1.68,,med,4,14-15,
CZE17,Chequia,17,Tomas Chory,base,falta,0,,DEL,Slavia Praha (CZE),26-01-1995,1.99,,med,4,14-15,
CZE18,Chequia,18,Vaclav Cerny,base,pegada,0,,DEL,Rangers (SCO),17-10-1997,1.78,,med,4,14-15,2026-06-13
CZE19,Chequia,19,Adam Hlozek,base,pegada,1,,DEL,TSG Hoffenheim (GER),25-07-2002,1.88,,high,4,14-15,2026-06-13
CZE20,Chequia,20,Patrik Schick,base,tengo,0,,DEL,Bayer Leverkusen (GER),24-01-1996,1.91,73,high,4,14-15,2026-06-17
ECU1,Ecuador,1,Escudo (foil),T2,pegada,0,escudo foil,,,,,,,20,46-47,2026-06-13
ECU2,Ecuador,2,Hernán Galíndez,base,falta,0,,POR,Huracan (ARG),30-03-1987,1.89,,med,20,46-47,
ECU3,Ecuador,3,Gonzalo Valle,base,pegada,0,,POR,LDU Quito (ECU),28-02-1996,1.85,,med,20,46-47,2026-06-12
ECU4,Ecuador,4,Piero Hincapié,base,falta,0,,DEF,Arsenal (ENG),09-01-2002,1.84,,high,20,46-47,
ECU5,Ecuador,5,Pervis Estupiñán,base,pegada,0,,DEF,AC Milan (ITA),21-01-1998,1.75,,high,20,46-47,2026-06-12
ECU6,Ecuador,6,Willian Pacho,base,pegada,0,,DEF,Paris Saint-Germain (FRA),16-10-2001,1.88,,high,20,46-47,
ECU7,Ecuador,7,Ángelo Preciado,base,falta,0,,DEF,Atletico Mineiro (BRA),18-02-1998,1.73,,high,20,46-47,
ECU8,Ecuador,8,Joel Ordóñez,base,pegada,0,,DEF,Club Brugge (BEL),21-04-2004,1.88,,high,20,46-47,2026-06-14
ECU9,Ecuador,9,Moisés Caicedo,base,falta,0,,MED,Chelsea (ENG),02-11-2001,1.78,73,high,20,46-47,
ECU10,Ecuador,10,Alan Franco,base,pegada,0,,MED,Atletico Mineiro (BRA),21-08-1998,1.76,,high,20,46-47,
ECU11,Ecuador,11,Kendry Páez,base,pegada,0,,MED,River Plate (ARG),04-05-2007,1.78,,med,20,46-47,2026-06-13
ECU12,Ecuador,12,Pedro Vite,base,falta,0,,MED,Pumas UNAM (MEX),09-03-2002,1.73,,med,20,46-47,
ECU13,Ecuador,13,Foto equipo,base,pegada,0,,,,,,,,20,46-47,2026-06-13
ECU14,Ecuador,14,John Yeboah,base,falta,0,,MED,Venezia (ITA),23-06-2000,1.70,,med,20,46-47,
ECU15,Ecuador,15,Leonardo Campana,base,pegada,0,,DEL,New England Revolution (USA),24-07-2000,1.88,,high,20,46-47,
ECU16,Ecuador,16,Gonzalo Plata,base,pegada,1,,DEL,Flamengo (BRA),01-11-2000,1.78,,high,20,46-47,2026-06-13
ECU17,Ecuador,17,Nilson Angulo,base,pegada,0,,DEL,Sunderland (ENG),19-06-2003,1.82,,med,20,46-47,2026-06-14
ECU18,Ecuador,18,Alan Minda,base,pegada,0,,DEL,Atletico Mineiro (BRA),14-05-2003,1.71,,med,20,46-47,2026-06-12
ECU19,Ecuador,19,Kevin Rodríguez,base,pegada,0,,DEL,Union Saint-Gilloise (BEL),04-03-2000,1.90,,med,20,46-47,
ECU20,Ecuador,20,Enner Valencia,base,falta,0,,DEL,Pachuca (MEX),04-11-1989,1.77,,high,20,46-47,
EGY1,Egipto,1,Escudo (foil),T2,falta,0,escudo foil,,,,,,,26,60-61,
EGY2,Egipto,2,Mohamed El Shenawy,base,falta,0,,POR,Al Ahly (EGY),18-12-1988,1.91,,high,26,60-61,
EGY3,Egipto,3,Mohamed Hany,base,pegada,0,,DEF,Al Ahly (EGY),02-02-1996,1.80,,high,26,60-61,
EGY4,Egipto,4,Mohamed Hamdy,base,pegada,0,,DEF,Pyramids FC (EGY),15-03-1995,1.75,,med,26,60-61,
EGY5,Egipto,5,Yasser Ibrahim,base,pegada,3,,DEF,Al Ahly (EGY),10-02-1993,1.85,,med,26,60-61,2026-06-12
EGY6,Egipto,6,Khaled Sobhi,base,pegada,0,,DEF,Al Masry (EGY),03-05-1995,1.88,,med,26,60-61,
EGY7,Egipto,7,Ramy Rabia,base,pegada,0,,DEF,Al-Ain (UAE),20-05-1993,1.83,,med,26,60-61,
EGY8,Egipto,8,Hossam Abdelmaguid,base,pegada,0,,DEF,Zamalek (EGY),30-04-2001,1.94,,med,26,60-61,2026-06-10
EGY9,Egipto,9,Ahmed Fatouh,base,pegada,1,,DEF,Zamalek (EGY),22-03-1998,1.78,,med,26,60-61,
EGY10,Egipto,10,Marwan Attia,base,pegada,,,MED,Al Ahly (EGY),01-08-1998,1.72,,med,26,60-61,2026-06-10
EGY11,Egipto,11,Zizo,base,pegada,1,,DEL,Al Ahly (EGY),10-01-1996,1.80,,high,26,60-61,2026-06-13
EGY12,Egipto,12,Hamdy Fathy,base,pegada,0,,MED,Al-Wakrah (QAT),29-09-1994,1.80,,med,26,60-61,2026-06-09
EGY13,Egipto,13,Foto equipo,base,falta,0,,,,,,,,26,60-61,
EGY14,Egipto,14,Mohamed Lasheen,base,falta,0,,MED,Pyramids FC (EGY),29-05-1996,1.79,,med,26,60-61,
EGY15,Egipto,15,Emam Ashour,base,pegada,0,,MED,Al Ahly (EGY),20-02-1998,1.82,,high,26,60-61,2026-06-10
EGY16,Egipto,16,Osama Faisal,base,pegada,0,,DEL,National Bank of Egypt (EGY),01-01-2001,1.80,,med,26,60-61,2026-06-14
EGY17,Egipto,17,Mohamed Salah,T3,pegada,0,,DEL,Liverpool (ENG),15-06-1992,1.75,71,high,26,60-61,
EGY18,Egipto,18,Mostafa Mohamed,base,pegada,1,,DEL,Nantes (FRA),28-11-1997,1.85,,high,26,60-61,
EGY19,Egipto,19,Trezeguet,base,tengo,0,,DEL,Al Ahly (EGY),01-10-1994,1.79,,high,26,60-61,2026-06-15
EGY20,Egipto,20,Omar Marmoush,base,pegada,2,,DEL,Manchester City (ENG),07-02-1999,1.83,,high,26,60-61,2026-06-13
ENG1,Inglaterra,1,Escudo (foil),T2,tengo,0,escudo foil,,,,,,,45,98-99,2026-06-17
ENG2,Inglaterra,2,Jordan Pickford,base,pegada,1,,POR,Everton (ENG),07-03-1994,1.85,77,high,45,98-99,
ENG3,Inglaterra,3,John Stones,base,pegada,0,,DEF,Manchester City (ENG),28-05-1994,1.88,70,high,45,98-99,
ENG4,Inglaterra,4,Marc Guéhi,base,pegada,0,,DEF,Manchester City (ENG),13-07-2000,1.82,77,med,45,98-99,2026-06-17
ENG5,Inglaterra,5,Ezri Konsa,base,pegada,0,,DEF,Aston Villa (ENG),23-10-1997,1.83,73,high,45,98-99,2026-06-14
ENG6,Inglaterra,6,Trent Alexander-Arnold,base,pegada,0,,DEF,Real Madrid (ESP),07-10-1998,1.80,72,high,45,98-99,2026-06-10
ENG7,Inglaterra,7,Reece James,base,pegada,0,,DEF,Chelsea (ENG),08-12-1999,1.82,82,high,45,98-99,2026-06-12
ENG8,Inglaterra,8,Dan Burn,base,pegada,0,,DEF,Newcastle United (ENG),09-05-1992,1.98,85,high,45,98-99,2026-06-17
ENG9,Inglaterra,9,Jordan Henderson,base,pegada,0,,MED,Brentford (ENG),17-06-1990,1.82,80,high,45,98-99,2026-06-12
ENG10,Inglaterra,10,Declan Rice,base,pegada,1,,MED,Arsenal (ENG),14-01-1999,1.85,80,high,45,98-99,2026-06-09
ENG11,Inglaterra,11,Jude Bellingham,T3,pegada,0,,MED,Real Madrid (ESP),29-06-2003,1.86,75,high,45,98-99,2026-06-09
ENG12,Inglaterra,12,Cole Palmer,base,falta,0,,MED,Chelsea (ENG),06-05-2002,1.89,70,high,45,98-99,
ENG13,Inglaterra,13,Foto equipo,base,falta,0,,,,,,,,45,98-99,
ENG14,Inglaterra,14,Morgan Rogers,base,pegada,0,,MED,Aston Villa (ENG),26-07-2002,1.85,,high,45,98-99,2026-06-12
ENG15,Inglaterra,15,Anthony Gordon,base,pegada,1,,DEL,Newcastle United (ENG),24-02-2001,1.83,66,high,45,98-99,2026-06-09
ENG16,Inglaterra,16,Phil Foden,base,pegada,0,,MED,Manchester City (ENG),28-05-2000,1.71,70,high,45,98-99,
ENG17,Inglaterra,17,Bukayo Saka,base,falta,0,,DEL,Arsenal (ENG),05-09-2001,1.78,72,high,45,98-99,
ENG18,Inglaterra,18,Harry Kane,T3,pegada,0,,DEL,Bayern Munich (GER),28-07-1993,1.88,86,high,45,98-99,2026-06-12
ENG19,Inglaterra,19,Marcus Rashford,base,tengo,0,,DEL,Barcelona (ESP),31-10-1997,1.85,80,high,45,98-99,2026-06-15
ENG20,Inglaterra,20,Ollie Watkins,base,pegada,1,,DEL,Aston Villa (ENG),30-12-1995,1.80,70,high,45,98-99,
FRA1,Francia,1,Escudo (foil),T2,falta,0,escudo foil,,,,,,,33,74-75,
FRA2,Francia,2,Mike Maignan,base,falta,0,,POR,AC Milan (ITA),03-07-1995,1.91,85,high,33,74-75,
FRA3,Francia,3,Theo Hernández,base,falta,0,,DEF,Al-Hilal (KSA),06-10-1997,1.84,81,high,33,74-75,
FRA4,Francia,4,William Saliba,base,falta,0,,DEF,Arsenal (ENG),24-03-2001,1.92,81,high,33,74-75,
FRA5,Francia,5,Jules Koundé,base,pegada,0,,DEF,FC Barcelona (ESP),12-11-1998,1.78,75,high,33,74-75,2026-06-16
FRA6,Francia,6,Ibrahima Konaté,base,falta,0,,DEF,Liverpool (ENG),25-05-1999,1.94,80,med,33,74-75,
FRA7,Francia,7,Dayot Upamecano,base,pegada,0,,DEF,Bayern Munich (GER),27-10-1998,1.86,86,high,33,74-75,2026-06-09
FRA8,Francia,8,Lucas Digne,base,falta,0,,DEF,Aston Villa (ENG),20-07-1993,1.78,74,high,33,74-75,
FRA9,Francia,9,Aurélien Tchouaméni,base,pegada,0,,MED,Real Madrid (ESP),27-01-2000,1.87,81,high,33,74-75,2026-06-16
FRA10,Francia,10,Eduardo Camavinga,base,falta,0,,MED,Real Madrid (ESP),10-11-2002,1.82,68,high,33,74-75,
FRA11,Francia,11,Manu Koné,base,tengo,0,,MED,AS Roma (ITA),17-05-2001,1.85,78,high,33,74-75,2026-06-17
FRA12,Francia,12,Adrien Rabiot,base,falta,0,,MED,AC Milan (ITA),03-04-1995,1.88,81,high,33,74-75,
FRA13,Francia,13,Foto equipo,base,falta,0,,,,,,,,33,74-75,
FRA14,Francia,14,Michael Olise,base,pegada,0,,DEL,Bayern Munich (GER),12-12-2001,1.84,73,high,33,74-75,2026-06-16
FRA15,Francia,15,Ousmane Dembélé,base,pegada,0,,DEL,Paris Saint-Germain (FRA),15-05-1997,1.78,67,high,33,74-75,2026-06-09
FRA16,Francia,16,Bradley Barcola,base,falta,0,,DEL,Paris Saint-Germain (FRA),02-09-2002,1.82,70,high,33,74-75,
FRA17,Francia,17,Désiré Doué,base,falta,0,,DEL,Paris Saint-Germain (FRA),03-06-2005,1.81,75,high,33,74-75,
FRA18,Francia,18,Kingsley Coman,base,pegada,0,,DEL,Al-Nassr (KSA),13-06-1996,1.80,75,high,33,74-75,2026-06-12
FRA19,Francia,19,Hugo Ekitike,base,pegada,1,,DEL,Liverpool (ENG),20-06-2002,1.90,74,high,33,74-75,2026-06-12
FRA20,Francia,20,Kylian Mbappé,T3,pegada,0,,DEL,Real Madrid (ESP),20-12-1998,1.78,75,high,33,74-75,2026-06-12
GER1,Alemania,1,Escudo (foil),T2,pegada,0,escudo foil,,,,,,,17,40-41,2026-06-13
GER2,Alemania,2,Marc-André ter Stegen,base,pegada,0,,POR,FC Barcelona (ESP),30-04-1992,1.87,85,high,17,40-41,2026-06-07
GER3,Alemania,3,Jonathan Tah,base,pegada,0,,DEF,Bayern Munchen (GER),11-02-1996,1.95,97,high,17,40-41,2026-06-09
GER4,Alemania,4,David Raum,base,pegada,0,,DEF,RB Leipzig (GER),22-04-1998,1.80,75,high,17,40-41,2026-06-09
GER5,Alemania,5,Nico Schlotterbeck,base,pegada,1,,DEF,Borussia Dortmund (GER),01-12-1999,1.91,85,high,17,40-41,2026-06-12
GER6,Alemania,6,Antonio Rüdiger,base,falta,0,,DEF,Real Madrid (ESP),03-03-1993,1.90,85,high,17,40-41,
GER7,Alemania,7,Waldemar Anton,base,pegada,0,,DEF,Borussia Dortmund (GER),20-07-1996,1.89,86,high,17,40-41,2026-06-09
GER8,Alemania,8,Ridle Baku,base,pegada,0,,DEF,RB Leipzig (GER),08-04-1998,1.76,75,high,17,40-41,2026-06-09
GER9,Alemania,9,Maximilian Mittelstädt,base,pegada,0,,DEF,VfB Stuttgart (GER),18-03-1997,1.83,76,high,17,40-41,
GER10,Alemania,10,Joshua Kimmich,base,falta,0,,MED,Bayern Munchen (GER),08-02-1995,1.77,75,high,17,40-41,
GER11,Alemania,11,Florian Wirtz,base,pegada,0,,MED,Liverpool (ENG),03-05-2003,1.76,70,high,17,40-41,2026-06-12
GER12,Alemania,12,Felix Nmecha,base,pegada,0,,MED,Borussia Dortmund (GER),10-10-2000,1.90,73,high,17,40-41,2026-06-09
GER13,Alemania,13,Foto equipo,base,pegada,0,,,,,,,,17,40-41,2026-06-13
GER14,Alemania,14,Leon Goretzka,base,pegada,1,,MED,Bayern Munchen (GER),06-02-1995,1.89,82,high,17,40-41,2026-06-12
GER15,Alemania,15,Jamal Musiala,T3,pegada,0,,MED,Bayern Munchen (GER),26-02-2003,1.83,72,high,17,40-41,2026-06-16
GER16,Alemania,16,Serge Gnabry,base,pegada,0,,DEL,Bayern Munchen (GER),14-07-1995,1.76,75,high,17,40-41,2026-06-12
GER17,Alemania,17,Kai Havertz,base,pegada,0,,DEL,Arsenal (ENG),11-06-1999,1.93,82,high,17,40-41,
GER18,Alemania,18,Leroy Sané,base,falta,0,,DEL,Galatasaray (TUR),11-01-1996,1.83,75,high,17,40-41,
GER19,Alemania,19,Karim Adeyemi,base,pegada,0,,DEL,Borussia Dortmund (GER),18-01-2002,1.80,74,high,17,40-41,2026-06-14
GER20,Alemania,20,Nick Woltemade,base,pegada,1,,DEL,Newcastle United (ENG),14-02-2002,1.98,95,high,17,40-41,2026-06-13
GHA1,Ghana,1,Escudo (foil),T2,pegada,1,escudo foil,,,,,,,47,102-103,2026-06-13
GHA2,Ghana,2,Lawrence Ati Zigi,base,pegada,0,,POR,FC St. Gallen (SUI),29-11-1996,1.88,82,high,47,102-103,
GHA3,Ghana,3,Tariq Lamptey,base,falta,0,,DEF,Fiorentina (ITA),30-09-2000,1.63,65,high,47,102-103,
GHA4,Ghana,4,Mohammed Salisu,base,falta,0,,DEF,AS Monaco (FRA),17-04-1999,1.91,80,high,47,102-103,
GHA5,Ghana,5,Alidu Seidu,base,pegada,1,,DEF,Stade Rennais (FRA),04-06-2000,1.73,68,high,47,102-103,2026-06-13
GHA6,Ghana,6,Alexander Djiku,base,pegada,0,,DEF,Spartak Moscu (RUS),09-08-1994,1.82,78,high,47,102-103,
GHA7,Ghana,7,Gideon Mensah,base,falta,0,,DEF,AJ Auxerre (FRA),18-07-1998,1.78,72,high,47,102-103,
GHA8,Ghana,8,Caleb Yirenkyi,base,falta,0,,MED,FC Nordsjaelland (DEN),15-01-2006,1.82,73,high,47,102-103,
